timestamp,binancecoin,bitcoin,dogecoin,ethereum,solana
2026-01-16 07:00:00,0.0,0.0,0.0,0.0,0.0
2026-01-16 08:00:00,-0.15357047079087582,-0.09108097819382488,-0.1861613623089453,-0.18510604504907713,-0.2847154278832642
2026-01-16 09:00:00,0.17335563885014782,-0.055821883301554465,-0.14604641565725274,-0.04961423471284698,-0.08828260933584353
2026-01-16 10:00:00,0.007356012826775782,-0.11799538898769057,-0.503848494075998,-0.18038030491429602,-0.12388447500198962
2026-01-16 11:00:00,-0.21858549834653518,-0.4633159468963366,-0.8280658818803133,-0.5352074699208176,-0.1640073212543669
2026-01-16 12:00:00,-0.028299727481917447,-0.32575108586095913,-1.599073399577744,-0.3893263109782663,-0.10822145672740868
2026-01-16 13:00:00,-0.10588401452051865,-0.31481122670661277,-1.6849663025358952,-0.20004941379607732,0.1865321839097156
2026-01-16 14:00:00,-0.048139327818730315,-0.3073491352479141,-1.6014642517177657,-0.10677865920529772,-0.168545886659488
2026-01-16 15:00:00,-0.5115344642668163,-0.5280269522609737,-1.7058055935003757,-0.574715186554442,-0.10918000906026126
2026-01-16 16:00:00,-0.8851202780711387,-1.1898080008778678,-3.06853822182388,-1.5012655823020693,-1.732153677853654
2026-01-16 17:00:00,-0.622234924746734,-0.9699030125709385,-2.6322586748009247,-1.0885584174707863,-1.0055958952056798
2026-01-16 18:00:00,-0.4772968932270416,-0.7948537336097461,-2.3136641695942983,-0.9495650757179952,-0.14710022867342465
2026-01-16 19:00:00,-0.45872769449584183,-0.8059201692465545,-2.207764894267461,-1.10521821507914,0.1811501729223064
2026-01-16 20:00:00,-0.46119493394415345,-0.8094826264589683,-2.2009459317967495,-1.173469476479616,0.5869208805775905
2026-01-16 21:00:00,-0.11971692249578281,-0.2699646591088234,-1.7183022576506612,-0.6549531619207571,1.059767360012276
2026-01-16 22:00:00,-0.02480949006558042,-0.21315704669986335,-1.7285460469149916,-0.607763957769758,1.3281546299704683
2026-01-16 23:00:00,0.22451178363649404,-0.2567199774277662,-1.5188272192374064,-0.6326268220564479,1.0889403613591142
2026-01-17 00:00:00,0.27070594707818696,-0.19132058852869838,-1.5239847076348734,-0.5387409825545642,1.1153672743025478
2026-01-17 01:00:00,0.054397970631758774,-0.2878066629900422,-1.4717683869213238,-0.6565141204087244,0.7097919536037445
2026-01-17 02:00:00,0.2960217669806475,-0.364480294425229,-1.4544832142186381,-0.7352522331525613,0.9588882664924636
2026-01-17 03:00:00,0.19485627624198365,-0.3956132314844152,-1.8531849006883094,-0.6807908300367926,0.868133084242606
2026-01-17 04:00:00,0.20710055113237757,-0.37976231946830197,-1.9723923500197027,-0.7581418864800904,0.7550099970951241
2026-01-17 05:00:00,0.24134852149897412,-0.44991850600294425,-1.7462893257796597,-0.6889025732432663,0.7391099775825305
2026-01-17 06:00:00,0.2924284909459285,-0.45226062516041665,-1.8443075534308795,-0.7001754926038162,0.48934328463317023
2026-01-17 07:00:00,0.20304338284560242,-0.5483088088930055,-2.131142659776042,-0.7113496487006321,0.38853423004223675
2026-01-17 08:00:00,0.033714195607226216,-0.7134189687681092,-2.096042144104948,-0.7066102234272287,0.2905958032003664
2026-01-17 09:00:00,0.2783600769337813,-0.5148937185294522,-1.9314255960089843,-0.5570339764151888,0.6375649819712725
2026-01-17 10:00:00,0.6885014065245443,-0.5118584917458313,-2.0596313249815257,-0.45895955435102387,0.8244106898824155
2026-01-17 11:00:00,0.5932355824998403,-0.671992384150577,-1.944605544786182,-0.5607971472731177,0.44750670164293016
2026-01-17 12:00:00,0.7828087955077168,-0.44812063228117927,-1.8010337802817133,-0.3624347153683982,0.4425639205622556
2026-01-17 13:00:00,0.7351782199896073,-0.5124748275588398,-1.8779494717675704,-0.35949064268882003,0.3231600610901664
2026-01-17 14:00:00,0.845066503861025,-0.32523578493695027,-1.7230855865527528,-0.3287713700484418,0.4571119228881093
2026-01-17 15:00:00,0.8474086551668369,-0.31670113766849584,-1.2762459402808957,-0.15399876731138074,0.4305738815768345
2026-01-17 16:00:00,2.1161250222126338,-0.2285273653639175,-0.533522430445732,0.33891495905700175,0.5692377932853709
2026-01-17 17:00:00,1.5870914905032896,-0.4516722243370519,-1.0879837491510225,0.13469028377524062,0.3878383420835574
2026-01-17 18:00:00,1.8158975831128021,-0.4014713614456267,-1.0489570207951826,0.07954539435572894,0.5128169807909755
2026-01-17 19:00:00,1.857888853461498,-0.33558176089433234,-1.0936479507138164,0.135220876005282,0.6543742647229678
2026-01-17 20:00:00,1.7970708143512981,-0.46814643218759944,-1.0748377629056893,0.05532148870355247,0.6910728595156845
2026-01-17 21:00:00,1.7587687870532331,-0.3851150889700783,-1.0826265133655921,0.08303414597385927,0.8369443282312927
2026-01-17 22:00:00,1.7056484921732507,-0.4584571356473499,-1.1474216911879886,-0.06447687163833038,0.6795770740393392
2026-01-17 23:00:00,1.185950072607822,-0.5921985231325921,-1.7315606777309922,-0.3360565604918042,0.33506631380284535
2026-01-18 00:00:00,1.2260549254054398,-0.6332146960990048,-1.6887941828572894,-0.16697541624458578,0.3192562010234212
2026-01-18 01:00:00,1.0587291635402618,-0.6820381959258492,-1.8993621465864474,-0.3273193880776404,-0.00601017772405843
2026-01-18 02:00:00,1.0279045153850586,-0.8143108957555878,-2.219355146850921,-0.3837733054395831,-0.40117970872346476
2026-01-18 03:00:00,1.1905875428060986,-0.7404077568161527,-2.359809734290208,-0.3439861444765824,-0.5816740680711807
2026-01-18 04:00:00,1.5391971804772586,-0.5758412983135397,-1.976882708301575,0.04076489229807301,-0.3472738688966248
2026-01-18 05:00:00,1.3784721492700713,-0.6782959529485266,-1.9803257038884636,-0.07751505385868995,-0.3048021104514742
2026-01-18 06:00:00,1.2531618346273588,-0.5979373516122544,-2.127432581857569,0.041242180285805397,-0.32371551951327904
2026-01-18 07:00:00,1.213265165909072,-0.6045859816687149,-2.1181508809095417,0.017167058870715124,-0.4464041938901264
2026-01-18 08:00:00,0.9686764571853246,-0.7390591673705149,-2.124941718424289,-0.2193127400225925,-0.762347897622706
2026-01-18 09:00:00,1.1452586954463273,-0.5894706043011122,-1.9773479759461199,0.02434616646316279,-0.622062627592368
2026-01-18 10:00:00,1.0776996746252987,-0.4949451343942646,-1.9212308672649225,0.2667936704221274,-0.5564156029289724
