timestamp,price,market_cap,volume,coin
1774011766902,70314.35277681354,1406371328463.378,41170079622.19747,bitcoin
1774015381935,69863.08791396998,1399290053454.0457,39615721653.82854,bitcoin
1774018959855,69739.70808468577,1394859928915.1528,40815816898.51593,bitcoin
1774022589200,69824.36946411383,1396129514972.5967,40072982962.92246,bitcoin
1774026226438,69848.23738975245,1396944455466.746,35863119519.2133,bitcoin
1774029795951,69922.80531197492,1396156053693.976,39407041554.57171,bitcoin
1774033402166,69731.46429879949,1395939827680.098,40435065357.46652,bitcoin
1774036966274,70138.7419088915,1402965768953.5137,38623672610.01391,bitcoin
1774040604070,70036.79676847711,1401177173671.6045,38678532583.7237,bitcoin
1774044123509,70525.66120992822,1410633009895.0442,39214592412.30835,bitcoin
1774047774633,70781.08357698002,1415942727632.781,38717875027.430855,bitcoin
1774051244247,70511.00634700106,1410310790224.2937,38388842925.577614,bitcoin
1774054920626,70683.13082950574,1413358127187.7517,37380938639.052956,bitcoin
1774058521755,70476.00823266465,1409954296872.0735,36889940342.397255,bitcoin
1774062130543,70717.09908340046,1414724946432.0088,36892102751.057175,bitcoin
1774065694320,70681.3117368,1413724525235.0742,36060540305.1556,bitcoin
1774069368847,70633.26137500843,1412889995894.1206,35334362495.791664,bitcoin
1774073291213,70715.81221084928,1414155485090.5586,35533938216.079994,bitcoin
1774076821171,70743.5837097416,1415248152355.4172,35720013308.58523,bitcoin
1774080362765,70690.39129587835,1414112310426.9229,34282030385.24014,bitcoin
1774083755171,70582.04532292718,1411895111554.887,33680038431.2918,bitcoin
1774087479250,70643.73195218536,1412932678130.97,32567965552.7379,bitcoin
1774091090480,70586.03151380002,1411930743084.8923,32071639030.43873,bitcoin
1774094644816,70635.87177138265,1412625011566.5986,31623915132.226376,bitcoin
1774098231910,70705.52326221105,1414370324512.7427,30559888157.595955,bitcoin
1774101878273,70722.73585326485,1414546107448.3364,28718326874.126804,bitcoin
1774105255748,70590.52579726202,1412228496105.898,26849232887.856205,bitcoin
1774109036838,70642.8192357941,1412947742341.3755,25647096309.75515,bitcoin
1774112458035,70287.02223502546,1405722465988.327,24300327551.156784,bitcoin
1774116298389,70312.70512781104,1406519450261.721,23701910268.248665,bitcoin
1774119955596,70407.76826144295,1408502417902.1582,22550366684.254898,bitcoin
1774123396225,70377.09842445592,1407113456071.158,21893678010.942833,bitcoin
1774126820253,70447.53457913788,1409054439577.1992,21329543963.51956,bitcoin
1774130627860,70340.289645773,1406649108590.5781,20775519187.45301,bitcoin
1774134202603,70292.26388186325,1405875824348.119,20492383219.820164,bitcoin
1774137944520,68412.67504146349,1375147784742.0708,23561855465.886032,bitcoin
1774141204248,68897.26755616778,1377091713676.9932,25450707632.618343,bitcoin
1774145062478,68943.09325322721,1379284606841.0972,26457580828.94962,bitcoin
1774148646477,69304.79718965513,1386441778744.9688,26808862428.801785,bitcoin
1774152188127,69329.99728279315,1386582928078.0383,27656531275.221233,bitcoin
1774155827146,69320.00160322535,1386753890353.463,26667933298.136543,bitcoin
1774159402229,69141.59971807108,1383052291885.4197,27226851382.043976,bitcoin
1774162985897,69146.84716615826,1383150529867.6714,26733435412.93568,bitcoin
1774166622369,68908.16957877796,1379571652201.1938,27113439586.300556,bitcoin
1774170256860,68795.5505642291,1375092788408.6868,27480035581.612385,bitcoin
1774173800891,68817.53435389008,1376273642162.0146,27686745427.500404,bitcoin
1774177390944,68653.9970738177,1373501958163.4583,27717145968.841022,bitcoin
1774181039071,68211.08116857347,1365428451756.307,28602375696.717762,bitcoin
1774184485142,68651.18982923409,1373165593177.811,28679891612.70802,bitcoin
1774188084242,68722.96325302527,1374862895887.028,29076645139.26364,bitcoin
1774191770081,68698.62007881168,1373391971538.9868,28923033271.035812,bitcoin
1774195350607,68821.70886419388,1376673424697.6758,27478416199.763855,bitcoin
1774198951599,68813.30024858509,1376516839836.5103,28431639062.334,bitcoin
1774202608917,68704.73553817421,1374637006475.0955,28439653557.426025,bitcoin
